Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,POST 1 MB,149,9,420.0,498.24020026177857,6.08032899981481,1304.9332820000927,7115.147651006711,1.2570034118153655,0.0759263805794516,420,510,670,730,940,1100,1200,1200,1300,1300,1300
GET,POST 400 KB (img),160,10,360.0,454.96952442501896,11.859708999509166,1359.5014819993594,7105.0625,1.349802321412473,0.08436264508827956,370,490,580,650,840,970,1100,1200,1400,1400,1400
GET,POST 400 KB (texto),164,12,480.0,533.6300001829163,7.402467999781948,1409.434082000189,7053.243902439024,1.3835473794477848,0.10123517410593548,480,600,710,810,990,1100,1200,1400,1400,1400,1400
,Aggregated,473,31,420.0,495.87364434885086,6.08032899981481,1409.434082000189,7090.272727272727,3.9903531126756233,0.26152419977366664,420,530,650,730,930,1000,1200,1300,1400,1400,1400
